"Source:","C:\Users\naraa\OneDrive - Universitas Airlangga\Dokumen\kuliah\MATKUL\sem6\TopSus\masbrobot\electrical\masbrobot\masbrobot.kicad_sch"
"Date:","5/31/2023 4:58:23 AM"
"Tool:","Eeschema 7.0.5"
"Generator:","D:\software\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Enable","Sim.Pins"
"1","9","C1, C2, C3, C4, C7, C8, C11, C12, C13","100nF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"2","1","C5","2200pF","Device:C_Small","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"3","1","C6","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","",""
"4","4","C9, C10, C14, C15","10uF","Device:C_Small","Capacitor_SMD:C_0201_0603Metric","~","","","","","","","","0",""
"5","1","D1","1N5819WS","Diode:1N5819WS","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","","","","","","","","",""
"6","1","D2","LED POWER","Device:LED_Small","LED_SMD:LED_1206_3216Metric","~","","","","","","","","",""
"7","8","D3, D4, D5, D6, D7, D8, D9, D10","1N4007","Diode:1N4007","Diode_SMD:D_0201_0603Metric","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","D","","1=K 2=A"
"8","1","J1","TYPE-C-31-M-12","TYPE-C-31-M-12:TYPE-C-31-M-12","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","","","HRO Electronics Co., Ltd.","3.26 mm","2020.12.08","TYPE-C-31-M-12","Manufacturer Recommendations","","",""
"9","1","J2","connector battery 2S Li-Po","Connector:Conn_01x03_Socket","Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal","~","","","","","","","","",""
"10","1","J3","Micro_SD_Card","Connector:Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3BT-DSF-PEJS","http://katalog.we-online.de/em/datasheet/693072010801.pdf","","","","","","","","",""
"11","1","J4","IO","Connector_Generic_MountingPin:Conn_01x08_MountingPin","Connector_PinHeader_1.27mm:PinHeader_1x08_P1.27mm_Horizontal","~","","","","","","","","",""
"12","2","J5, J6","Conn_01x06","Connector_Generic:Conn_01x06","Connector_JST:JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical","~","","","","","","","","",""
"13","1","J7","OLED_128x64_I2C","Connector:Conn_01x04_Socket","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical","~","","","","","","","","",""
"14","2","Q1, Q2","S8050","Transistor_BJT:S8050","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf","","","","","","","","",""
"15","1","R1","10k","Device:R_Small","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"16","2","R2, R6","10k","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"17","2","R3, R7","470","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","",""
"18","2","R4, R5","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","",""
"19","1","R8","R_LED","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","",""
"20","1","SW1","reset","Switch:SW_Push","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","","","","","","","","",""
"21","1","SW2","boot","Switch:SW_Push","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","","","","","","","","",""
"22","1","U1","CH340G","Interface_USB:CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","","","","","","","","",""
"23","1","U2","MPU-6050","Sensor_Motion:MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf","","","","","","","","",""
"24","1","U3","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf","","","","","","","","",""
"25","1","U4","L298P","Driver_Motor:L298P","L298P:SOIC127P1420X360-20N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf","","","","","","","","",""
"26","1","U5","AMS1117-5.0","Regulator_Linear:AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","","",""
"27","1","U6","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","","",""
